calibrate
Number of Components,Grid Size (n*n),Pruned Nodes,Total Nodes,Time,Branching Depth
40,7,35010,63940,0.189234,5
40,7,95725,177144,0.667944,6
58,9,0,59,0.000323,1
58,9,57,173,0.00112,2
58,9,170,3443,0.013709,3
58,9,3496,9740,0.046721,4
58,9,9905,181701,0.572386,5
58,9,0,59,0.000322,1
58,9,57,173,0.001153,2
58,9,170,3443,0.013375,3
58,9,3496,9740,0.043876,4
58,9,9905,181701,0.609097,5
58,9,185191,508452,2.30134,6
58,9,517812,9042655,29.754,7
58,9,0,59,0.000321,1
58,9,57,173,0.001694,2
58,9,170,3443,0.014337,3
58,9,3496,9740,0.046676,4
58,9,9905,181701,0.598947,5
58,9,185191,508452,2.25086,6
58,9,517812,9042655,29.7905,7
58,9,9228232,24996815,123.998,8
60,10,149153,61,0.000248,1
60,10,149212,177,0.000967,2
60,10,149327,3708,0.013964,3
60,10,152912,10651,0.059728,4
60,10,159908,198910,0.725106,5
60,10,351357,559988,2.89203,6
74,11,351357,75,0.000344,1
74,11,351430,219,0.001303,2
74,11,351573,5412,0.026818,3
74,11,356838,15131,0.119378,4
74,11,366699,345259,1.31752,5
74,11,702152,953955,5.55528,6
91,25,4468,92,0.000963,1
91,25,4555,527,0.00642,2
91,25,4866,15824,0.158175,3
109,26,0,110,0.001064,1
109,26,105,628,0.008644,2
109,26,754,14351,0.178299,3
109,26,44267,234279,3.2221,4
109,26,0,110,0.001702,1
109,26,105,628,0.010099,2
109,26,754,14351,0.160406,3
109,26,44267,234279,3.20541,4
109,26,153745,1095966,12.7757,5
109,26,0,110,0.001517,1
109,26,105,628,0.010302,2
109,26,754,14351,0.152887,3
109,26,44267,234279,3.21302,4
109,26,153745,1095966,13.1455,5
109,26,3032093,8381363,149.239,6
113,12,702152,114,0.00076,1
113,12,702264,336,0.002368,2
113,12,702485,12729,0.076573,3
113,12,714989,36866,0.283131,4
113,12,739346,1354183,6.19388,5
113,12,2069166,3901043,25.985,6
119,13,2069166,120,0.000869,1
119,13,2069284,356,0.003253,2
119,13,2069519,14439,0.069259,3
119,13,2083719,42214,0.317833,4
119,13,2111847,1677541,7.61181,5
119,13,3761365,4903515,34.1149,6
154,14,3761365,155,0.000779,1
154,14,3761518,461,0.003594,2
154,14,3761823,23954,0.133792,3
154,14,3785468,69950,0.711058,4
154,14,3831768,3527154,18.111,5
154,14,7312616,10249454,83.7948,6
184,15,7312616,185,0.001084,1
184,15,7312799,553,0.005355,2
184,15,7313166,34448,0.206971,3
184,15,7347243,102042,1.02933,4
184,15,7415203,6250263,32.5609,5
229,18,0,230,0.002088,1
229,18,228,689,0.008622,2
229,18,686,53488,0.355015,3
229,18,53935,160124,1.68483,4
229,18,159906,12172504,84.4124,5
277,22,0,278,0.002287,1
277,22,276,831,0.012272,2
277,22,827,77735,0.681642,3
277,22,78004,230461,3.43805,4
277,22,231277,21185481,187.44,5
294,21,0,295,0.003103,1
294,21,293,881,0.014517,2
294,21,878,86960,0.670864,3
294,21,0,295,0.003313,1
294,21,293,881,0.013925,2
294,21,878,86960,0.664288,3
355,22,878,356,0.002657,1
355,22,1232,1055,0.017221,2
355,22,1930,123771,0.980022,3
388,23,387,1162,0.025902,2
388,23,1159,150799,1.28354,3
388,23,151182,449147,7.20235,4
388,23,0,389,0.003592,1
388,23,387,1162,0.018993,2
388,23,1159,150799,1.26512,3
388,23,151182,449147,7.444,4
400,23,1930,401,0.00316,1
400,23,2329,1198,0.021164,2
400,23,3125,160484,1.36159,3
449,24,3125,450,0.003777,1
449,24,3573,1346,0.031673,2
449,24,4468,202477,1.79982,3
676,26,0,677,0.0085,1
676,26,675,2027,0.04108,2
676,26,2024,449600,4.40154,3
